"id","UDALERRIA_KODEA/COD_MUNICIPIO","UDALERRIA/MUNICIPIO","EKITALDIA/EJERCICIO","EDUKIONTZI_KODEA/COD_CONTENEDOR","EDUKIONTZIAREN MODELOA_CAS/MODELO CONTENEDOR_CAS","HONDAKINAREN FRAKZIOA_CAS/FRACCION DEL RESIDUO_CAS","longitude","latitude","horaMin","horaMax"
845,15,"BASAURI",2020,85,"CARGA VERTICAL","ENVASES LIGEROS","509259,29","4785691,13",0,23
846,15,"BASAURI",2020,86,"CARGA VERTICAL","ENVASES LIGEROS","509171,99","4785565,55",0,23
847,15,"BASAURI",2020,87,"CARGA VERTICAL","ENVASES LIGEROS","509255,28","4785272,62",0,23
848,15,"BASAURI",2020,88,"CARGA VERTICAL","ENVASES LIGEROS","509205,15","4785452,29",0,23
849,15,"BASAURI",2020,89,"CARGA VERTICAL","ENVASES LIGEROS","509044,82","4785443,18",0,23
850,15,"BASAURI",2020,90,"CARGA VERTICAL","ENVASES LIGEROS","509083,37","4785215,73",0,23
851,15,"BASAURI",2020,91,"CARGA VERTICAL","ENVASES LIGEROS","509605,4","4787256,65",0,23
852,15,"BASAURI",2020,92,"CARGA VERTICAL","ENVASES LIGEROS","509573,13","4787744,1",0,23
853,15,"BASAURI",2020,94,"CARGA VERTICAL","ENVASES LIGEROS","509421,96","4787453,22",0,23
854,15,"BASAURI",2020,95,"CARGA VERTICAL","ENVASES LIGEROS","509576,27","4786753,56",0,23
855,15,"BASAURI",2020,96,"CARGA VERTICAL","ENVASES LIGEROS","508808,41","4787078,49",0,23
856,15,"BASAURI",2020,97,"CARGA VERTICAL","ENVASES LIGEROS","509485,59","4787271,02",0,23
857,15,"BASAURI",2020,99,"CARGA VERTICAL","ENVASES LIGEROS","509041,44","4785853,19",0,23
858,15,"BASAURI",2020,100,"CARGA VERTICAL","ENVASES LIGEROS","508887,5","4785804,8",0,23
859,15,"BASAURI",2020,101,"CARGA VERTICAL","ENVASES LIGEROS","509246,51","4785316,24",0,23
860,15,"BASAURI",2020,102,"CARGA VERTICAL","ENVASES LIGEROS","509645,44","4786362,24",0,23
861,15,"BASAURI",2020,103,"CARGA VERTICAL","ENVASES LIGEROS","510707,08","4786584,7",0,23
862,15,"BASAURI",2020,104,"CARGA VERTICAL","ENVASES LIGEROS","508298,54","4787173,55",0,23
863,15,"BASAURI",2020,105,"CARGA VERTICAL","ENVASES LIGEROS","509022,96","4787307,06",0,23
864,15,"BASAURI",2020,106,"CARGA VERTICAL","ENVASES LIGEROS","509065,34","4787454,9",0,23
865,15,"BASAURI",2020,107,"CARGA VERTICAL","ENVASES LIGEROS","509338,46","4787443,12",0,23
866,15,"BASAURI",2020,108,"IGLU CIRCULAR","ENVASES LIGEROS","510365,8","4786623,85",0,23
867,15,"BASAURI",2020,109,"CARGA VERTICAL","ENVASES LIGEROS","508713,37","4787229,73",0,23
868,15,"BASAURI",2020,111,"CARGA VERTICAL","ENVASES LIGEROS","509511,3","4787110,68",0,23
869,15,"BASAURI",2020,112,"CARGA VERTICAL","ENVASES LIGEROS","509852,11","4787137",0,23
870,15,"BASAURI",2020,114,"CARGA VERTICAL","ENVASES LIGEROS","508209,47","4787438,19",0,23
871,15,"BASAURI",2020,116,"CARGA VERTICAL","ENVASES LIGEROS","508212,66","4787231,38",0,23
872,15,"BASAURI",2020,117,"CARGA VERTICAL","ENVASES LIGEROS","508813,88","4787143,6",0,23
873,15,"BASAURI",2020,119,"CARGA VERTICAL","ENVASES LIGEROS","509651,11","4787122,38",0,23
874,15,"BASAURI",2020,121,"CARGA VERTICAL","ENVASES LIGEROS","510057,36","4787076,1",0,23
875,15,"BASAURI",2020,122,"CARGA VERTICAL","ENVASES LIGEROS","508984,64","4785733,09",0,23
876,15,"BASAURI",2020,123,"CARGA VERTICAL","ENVASES LIGEROS","508839,56","4787239,23",0,23
877,15,"BASAURI",2020,124,"CARGA VERTICAL","ENVASES LIGEROS","510108,55","4786923,61",0,23
878,15,"BASAURI",2020,125,"CARGA VERTICAL","ENVASES LIGEROS","509556,11","4787073,53",0,23
879,15,"BASAURI",2020,128,"CARGA VERTICAL","ENVASES LIGEROS","509854,37","4786024,71",0,23
880,15,"BASAURI",2020,129,"CARGA VERTICAL","ENVASES LIGEROS","509621,79","4785911,4",0,23
881,15,"BASAURI",2020,130,"CARGA VERTICAL","ENVASES LIGEROS","509181,84","4786096,69",0,23
882,15,"BASAURI",2020,131,"CARGA VERTICAL","ENVASES LIGEROS","510113,73","4787251,31",0,23
883,15,"BASAURI",2020,132,"CARGA VERTICAL","ENVASES LIGEROS","510115,69","4787249,57",0,23
884,15,"BASAURI",2020,134,"CARGA VERTICAL","ENVASES LIGEROS","508309,79","4787414,88",0,23
885,15,"BASAURI",2020,135,"CARGA VERTICAL","ENVASES LIGEROS","508304,21","4786986,06",0,23
886,15,"BASAURI",2020,136,"CARGA VERTICAL","ENVASES LIGEROS","508674,53","4786774,05",0,23
887,15,"BASAURI",2020,138,"CARGA VERTICAL","ENVASES LIGEROS","509218,3","4786260,07",0,23
888,15,"BASAURI",2020,139,"CARGA VERTICAL","ENVASES LIGEROS","509130,31","4786344,06",0,23
889,15,"BASAURI",2020,140,"CARGA VERTICAL","ENVASES LIGEROS","508446,51","4787361,12",0,23
890,15,"BASAURI",2020,141,"CARGA VERTICAL","ENVASES LIGEROS","509283,46","4787923,04",0,23
891,15,"BASAURI",2020,144,"CARGA VERTICAL","ENVASES LIGEROS","509931,98","4787029,91",0,23
892,15,"BASAURI",2020,146,"CARGA VERTICAL","ENVASES LIGEROS","509151,6","4787527,5",0,23
893,15,"BASAURI",2020,147,"CARGA VERTICAL","ENVASES LIGEROS","509526,44","4787650,18",0,23
894,15,"BASAURI",2020,148,"CARGA VERTICAL","ENVASES LIGEROS","509314,58","4787862,11",0,23
895,15,"BASAURI",2020,149,"CARGA VERTICAL","ENVASES LIGEROS","509060","4785336,28",0,23
